strain	data source	year	month	region	location	continent	clade	group	MLVA	date	23SRna	Macrolide Susceptibility	time range	completeness	ST
GCA_002563495	public	1991	NA	United States	United States	Americas	T1-1	T1-1	4-5-7-2	1991	NA	S	1944-2009	contigs	1
GCA_009947205	public	2010	NA	South Korea	South Korea	Asia	T1-1	T1-1	4-5-7-2	2010	NA	S	2010-2015	complete	1
GCA_009948395	public	2010	NA	South Korea	South Korea	Asia	T1-1	T1-1	4-5-7-2	2010	NA	S	2010-2015	complete	1
SRR24210460_PE	public	NA	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
SRR24210461_PE	public	NA	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
SRR24210462_PE	public	NA	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	NA	A2063G	R	NA	contigs	1
SRR24210463_PE	public	NA	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	NA	A2064C	R	NA	contigs	1
SRR24210464_PE	public	NA	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	NA	A2063G	R	NA	contigs	1
SRR24210465_PE	public	NA	NA	United States	United States	Americas	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
SRR4023032_SE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-?-?-2	NA	NA	S	NA	contigs	1
001_17R859	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
003_17R1150	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
004_17R1355	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
005_17R1444	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
009_18M1592	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
011_18M1634	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
012_18M1643	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	-
013_18M1671	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
014_18M1684	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
015_18M1688	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
016_18M1700	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
017_18M1722	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
018_18M1729	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
020_18M1786	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
021_18M1880	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
022_18M1916	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
023_18M1952	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
024_18M2169	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
026_18M2301	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
030_19M257	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
032_19M506	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
034_19M510	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
036_19M569	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
037_19M570	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
038_19M583	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
039_19M645	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
039671	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.875	A2063G	R	2020-2024	contigs	NA
040_19M758	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
041_19M937	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
045_19M1094	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
046_19M1102	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
049_19M1120	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
050_19M1125	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
051_19M1127	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
053_19M1135	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
054_19M1140	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
055_19M1142	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
056_19M1159	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
058_19M1233	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
059_19M1236	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
060_19M1240	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
062_19M1261	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-4-7-2	2019	A2063G	R	2016-2019	contigs	3
063_19R1067	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
064_19R1076	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
065_19R1106	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
067_19M1325	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
069_19M1349	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
070_19R1205	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
076_19M1365	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
077_19M1368	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
080_19R1325	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
081_19R1333	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
082_19R1336	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
084_19R1349	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
085_19R1356	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
086_19R1358	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
090_19R1377	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	-
092_19R1384	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
093_19R1386	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
094_19R1399	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
095_19M1404	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
097_19R1407	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
098_19R1408	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
099_19M1416	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
100_19M1423	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
100_R277	self	2023	6	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.458	A2063G	R	2020-2024	contigs	3
101_19R1470	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
101_R424	self	2023	8	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.625	A2063G	R	2020-2024	contigs	3
102_R528	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
103_22R077	self	2022	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2022	A2063G	R	2020-2024	contigs	3
103_R531	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
104_22R079	self	2022	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2022	A2063G	R	2020-2024	contigs	3
104_R560	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	3
105_22M259	self	2022	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2022	A2063G	R	2020-2024	contigs	3
105_R571	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	-
106_R584	self	2023	1	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.792	A2063G	R	2020-2024	contigs	-
107_22M336	self	2022	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2022	A2063G	R	2020-2024	contigs	3
107_M414	self	2023	9	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.708	A2063G	R	2020-2024	contigs	3
108_22M340	self	2022	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2022	A2063G	R	2020-2024	contigs	3
109_22M347	self	2022	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2022	A2063G	R	2020-2024	contigs	3
109_M574	self	2023	11	China	China-Beijing	Asia	T1-2-EC1	T1-2	5-5-7-2	2023.875	A2063G	R	2020-2024	contigs	3
111_22R487	self	2022	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-4-7-2	2022	A2063G	R	2020-2024	contigs	3
111_D16450	self	2023	9	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2023.708	A2063G	R	2020-2024	contigs	3
112_22R460	self	2022	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2022	A2063G	R	2020-2024	contigs	3
121_M1796	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
122_M1024	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
124_M1153	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
128_R1149	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
133_R1347	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
134_17M272	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
135_16R074	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
136_16R055	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
137_16R129	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
138_16M-C025	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	-
139_16M266	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
140_16R062	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
141_16M195	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
142_16M124	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
143_16R108	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
144_16R059	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
145_16R065	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
146_16M187	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
147_16M146	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
148_16M286	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
149_16M186	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
150_16M211	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
151_16M244	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
152_16M193	self	2016	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2016	A2063G	R	2016-2019	contigs	3
153_17M251	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
154_17M224	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
155_17M050	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
156_17R191	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
157_17M289	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-?	2017	A2063G	R	2016-2019	contigs	3
158_17M438	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
159_17M292	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	-
160_17M323	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
161_17R006	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
162_17M187	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
163_17M206	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
164_17M227	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
165_17R138	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
166_17R098	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
167_17M403	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
168_17M288	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
169_17M238	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
170_17M037	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
171_17R115	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
172_17R127	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
173_17M260	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
174_17M110	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
175_17R125	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	-
176_17M439	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
177_17M135	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
178_17R016	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
179_17R218	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
17M1141	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
17M486	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
17M512	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
17R313M472	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
180_17M212	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
181_17R239	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
182_17M217	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
183_17M267	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
184_17M295	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
185_17R128	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
186_17M391	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
187_17R198	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	-
188_17M073	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
189_17R113	self	2017	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2017	A2063G	R	2016-2019	contigs	3
18M1849	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
18R1565	self	2018	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2018	A2063G	R	2016-2019	contigs	3
190_19M1169	self	2019	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2019	A2063G	R	2016-2019	contigs	3
192_21R801	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
193_21R822	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
194_21R642	self	2021	NA	China	China-Beijing	Asia	T1-2-EC1	T1-2	4-5-7-2	2021	A2063G	R	2020-2024	contigs	3
